X	Y
-4,089698853	0,535368387
0,049662675	-2,349935011
0,088498324	-1,952961845
-0,214138258	-2,325904168
3,716755914	2,009043095
-3,608714818	0,743271181
3,061808746	1,472368309
-3,212619819	0,732796726
1,766661728	2,049046924
2,029283733	-2,439038382
2,693337846	0,981613196
2,053026037	1,247493453
2,987018482	1,073358516
1,43501925	1,568908881
-3,780684085	0,537644559
3,258879558	1,6460799
1,526051982	-2,165600352
-3,610424772	-0,050932594
2,423139458	1,609076655
2,10071618	-3,263595012
0,472763269	-1,419317265
-3,662327477	0,850107929
0,845339719	-1,422805921
-1,597170514	-0,644329692
1,687576761	-3,244805725
-3,695695596	-0,62482592
2,569964515	1,678021669
0,840326531	-1,639955019
-3,428623199	-0,20514927
-1,734114817	-0,832626332
0,876473123	-1,397137375
3,546842534	2,456982103
1,920400123	-3,368763955
3,07804235	1,515371681
1,260210118	1,925148471
1,975983162	-2,455451365
-3,778442607	0,480318237
1,316459894	1,670047164
-0,293796415	-2,315421062
1,879949656	1,907583635
1,700093399	-2,314695388
0,375547703	-2,233609972
-2,367239326	-0,930164793
1,888289456	1,747744489
-3,70050839	-0,508406075
-3,984954045	0,532736598
2,316960822	-2,649008766
3,704659783	2,878412489
-2,376145576	-1,1148684
-2,136147455	-0,836053659
3,198627337	1,1895644
-3,585317323	0,38394223
2,065879495	1,404662122
-2,162401133	-1,018896807
-1,713369151	-0,592504847
-3,165492094	-1,000174398
0,073520532	-2,213358758
-3,467466421	-0,25333151
-0,40960039	-2,192239333
-3,427531822	-0,929222399
3,064859807	1,734624621
1,819610118	-1,97172371
-3,979574861	0,407550098
2,331084405	-2,849073132
3,450965233	2,360306274
1,543023585	-2,4384458
1,787652665	-2,098009293
1,569501865	-3,101048028
1,775375646	-3,04856744
1,056381293	-1,585664703
-3,79530609	0,530736484
-2,495482271	-0,836752279
-3,659363628	-0,011292401
1,632511364	1,883046515
-0,325548647	-2,20363446
2,393344569	1,621925921
-0,00878073	-1,978083724
-3,052330955	-0,629073573
1,998489821	-2,490129006
1,693004742	1,590218237
2,642540856	1,729281681
-3,419700007	0,877537839
1,722973341	-3,101179739
1,497611028	-1,864708161
2,248251055	-3,342693951
2,909249575	1,421668911
1,867693562	-2,401589686
3,041121015	2,017151808
-3,613880845	0,991031078
-2,983246347	-1,164637803
0,709298683	-2,051173346
-3,536674261	-0,333765025
1,129517265	-1,719571313
0,338887383	-1,989214057
1,817603445	-3,191194448
1,159084292	-2,076846545
1,568580303	-2,274271237
1,301442658	1,720197311
-3,606622615	-0,409946677
0,756714186	-1,591099797
-2,74182109	-0,830116462
2,918099157	1,251368862
0,513670479	-1,516770139
1,538041596	-2,349459645
0,28645505	-2,119101078
1,041273043	-2,120369818
0,977950708	-1,393410957
-3,047528237	-0,548564853
-2,27161077	-1,124080044
1,951905569	-2,631919057
0,030604256	-2,421850537
2,756364066	1,268138775
3,308162356	2,090003104
-3,483913526	0,820081157
2,403612625	1,259498183
3,066332025	1,946598489
0,583695425	-1,489633414
-3,9300982	0,342879597
2,568838776	1,390320498
-2,088723779	-0,458351513
1,841462942	1,558032036
-1,98851811	-1,036336059
3,022600504	1,474115469
1,800020665	-2,223137382
1,264045914	-1,925165358
-3,551747525	-0,640156536
1,760299286	-2,857481337
0,359534832	-2,226695943
1,250484007	-1,618360561
3,214135442	2,574392601
1,585488134	-2,203567426
1,434831437	-2,26784043
-1,980846207	-0,403529911
-3,158699842	-0,562887648
2,0739314	-2,170693741
1,240978417	-1,442270996
1,055510593	-1,899253674
-2,650692776	-0,795874553
3,658711222	1,724296298
-2,84917269	-1,001910173
2,157790953	1,490170596
-3,889045835	0,81063527
0,175103331	-2,245221707
-2,695568198	-0,814898364
0,382556287	-2,159028557
1,90582918	-2,130452444
3,356509413	1,961404926
2,771076984	1,279647551
-3,882443309	0,236672745
3,232233228	1,218442689
3,0337335	1,859671696
-3,853161022	-0,143653933
-2,676843841	-0,808469937
2,724654888	1,745648979
3,357410774	1,360032126
1,920014081	1,507553265
1,153506572	-1,973580188
-3,551383437	0,428684349
3,322095302	2,173454851
1,780492691	1,897018044
-3,570490729	0,541708702
-2,746631509	-0,725814625
2,287172073	-3,18804389
-3,528015467	0,345309884
2,069543771	1,058242334
-2,803049053	-0,939563182
0,968486755	-2,121451954
3,156576221	1,742371707
1,909577925	-3,186707794
-3,956709773	0,648024272
1,941588006	-1,95842742
0,758704634	-1,861200925
-1,985700546	-0,357653543
3,478915103	2,587498675
-3,418161924	-0,140900363
-3,265326284	-0,802315564
1,857607834	-3,362774938
1,836636267	1,743903659
1,887077358	-2,568398363
-2,994325435	-1,162358535
2,806040024	1,744292325
0,417155534	-2,014295314
0,717200889	-1,527657199
-3,594060279	0,877986915
1,718179416	1,288644791
1,82898424	-2,50208034
1,221846439	1,643146293
3,348682689	2,802143776
1,36779157	-1,651235356
1,626645206	-3,191680707
-1,976135797	-0,673894518
1,098176266	-1,784035065
3,195935976	2,408795634
-3,781860985	1,000213449
1,112171857	-1,701851652
-2,124771482	-0,931369844
0,805929879	-1,48977833
1,307100809	-1,573150123
3,339182937	2,159325423
1,758768345	1,806778741
-3,97419949	0,224055984
2,810434976	1,481093094
2,113234181	-2,744053882
1,410250909	-2,291633528
1,827985678	1,951613621
0,790855919	-1,725698453
-2,374797445	-0,812524122
2,099334065	-2,346154087
-3,820914775	-0,140440229
3,343048078	2,083799606
1,078297393	-1,987115727
-2,071931175	-0,943109527
1,807156368	-2,047533749
-3,78122597	1,082700207
2,994668037	1,71149303
-3,727134299	-0,165207461
-2,125789353	-0,444807679
-2,315332776	-0,484330338
2,709101012	1,033213113
0,49306954	-1,543413984
0,220657985	-1,666923454
3,711745839	2,083712289
0,648032971	-1,955644414
3,39590485	1,807415532
-3,357073499	0,777571217
-3,936090957	-0,181767449
-3,570118793	0,791432949
1,611272844	-2,677962159
3,559498699	1,800782361
2,494110849	1,394826544
1,337587567	-2,216157768
1,802765775	1,563836564
0,823005795	-1,632452698
1,952424538	-2,491607779
1,076183078	-1,595103789
2,090793887	1,134917984
0,968373304	-1,856175096
-3,707470014	-0,169523772
-0,317420568	-2,227241374
-4,004939602	0,550431639
1,985306857	1,722556956
3,469749342	2,610530238
1,567475619	2,064131172
2,424729544	1,400622275
1,760215325	-2,504613442
3,721545547	2,852255335
-2,291816613	-0,840022709
1,738903903	1,783346367
1,55417574	1,488762414
0,676744227	-1,733412208
-3,780504773	0,173267702
-0,032257812	-1,810677331
3,174117714	2,240079776
1,568858173	-3,204796015
3,372912216	1,908482569
1,358823421	-1,913981703
3,643781592	2,284649607
1,912773157	1,532013794
0,931925293	-1,534721179
-3,881645446	0,586547394
1,878439932	-2,991786785
1,157871156	-2,136044433
-3,723753329	-0,222074168
-2,858442731	-0,497108001
-3,145681874	-0,545746382
3,485639018	2,896225196
3,734256095	2,867731087
-3,721648708	0,486475822
1,727848295	1,475573903
1,566835145	-1,900096752
-2,224110237	-1,147572557
-2,203609045	-0,647823837
0,618212397	-2,044991568
-3,336855246	-0,782174897
-3,843006427	-0,580757202
-3,633045706	0,910501311
-0,092726004	-1,931293349
-3,763580824	0,084798932
-3,431251334	0,219551603
-3,299783508	-0,549458634
-3,277954431	-0,342765331
-3,004137789	-0,878491949
2,286301723	-3,106342259
-2,566023013	-0,922064948
1,630011471	-1,656046936
-3,661377507	0,576009551
